The text in the image is in Japanese. Here is the transcription of the visible text:

- 洋服 青山 (Yukaku Aoyama)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ スタイリック (Suits Stylisk)
- スーツ
