The text visible in the image includes:

- "Aquafina" on a water bottle
- "Pure Life" on a water bottle
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
- "Pure Life" on a water bottle cap
