The text in the image reads:

"U.S. Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
United States Army Air Forces
